City,Current Value,Predicted Value,Net Profit,ROI
San Francisco,"1,084,300","1,159,824","75,524",6%
Riverside,"599,000","629,602","30,602",5%
San Diego,"949,000","901,440","-47,560",-5%
Sacramento,"621,333","654,421","33,088",5%
San Jose,"1,545,315","1,590,688","45,373",2%
Fresno,"453,333","478,438","25,105",5%
Bakersfield,"383,300","392,942","9,642",2%
Oxnard,"992,000","1,002,199","10,199",1%
Stockton,"566,667","590,448","23,781",4%
Modesto,"508,316","515,574","7,258",1%
Santa Rosa,"963,000","991,253","28,253",2%
Visalia,"394,633","399,556","4,923",1%
Vallejo,"596,000","605,507","9,507",1%
Santa Maria,"1,694,667","1,495,507","-199,160",-11%
Salinas,"1,185,750","1,102,044","-83,706",-7%
San Luis Obispo,"1,023,817","1,033,616","9,799",0%
Merced,"449,650","469,153","19,503",4%
Santa Cruz,"1,263,000","1,319,896","56,896",4%
Chico,"417,054","417,627",573,0%
Redding,"404,833","393,553","-11,280",-2%
El Centro,"352,333","327,693","-24,640",-6%
Yuba City,"466,315","475,151","8,836",1%
Madera,"499,667","494,672","-4,995",-1%
Hanford,"360,917","366,028","5,111",1%
Napa,"1,353,167","1,209,346","-143,821",-10%